key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
4828	222	4827	(S,B) ^^ e-	0	pure from |$ {intr:} |$ {tr:} |$$ |$$ for	pure from |$ {intr:} |$ {tr:} |$$ |$$ for		399b	2	2010-04-11	2010-07-22	vagrant	vagrant	https://pishoyg.github.io/crum/4828.html	(S, B) ― ⲉ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲉ-</span> <span class=""nag-hammadi""></span></span>"	― ⲉ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲉ-</span></span>"	-		"pure from
― <b>intr:</b>
― <b>tr:</b>
――
―― for"	"pure from
― <b>intr:</b>
― <b>tr:</b>
――
―― for"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=399b	― ⲉ-					― ⲉ-					1
4829	222	4827	(S,B) ^^ n-	0	cleanse, be pure for	cleanse, be pure for		400a	3	2010-04-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/4829.html	(S, B) ― ⲛ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ⲛ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲛ-</span></span>"	-		cleanse, be pure for	cleanse, be pure for	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	― ⲛ-					― ⲛ-					1
4830	222	4827	(B) ^^ Ha-	0	from	from		400a	4	2010-04-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/4830.html	(B) ― ϩⲁ-	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ϩⲁ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲁ-	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ϩⲁ-</span></span>"	-		from	from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a						― ϩⲁ-					1
4831	222	4827	(S,A,B,F) ^^ Hn-,^^ Ken-	0	by (agent)	by (agent)		400a	5	2010-04-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/4831.html	(S, A, B, F) ― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S A B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A B F"">― ϩⲛ-</span>, <span class=""spelling S A B F"">― ϧⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲛ-, ― ϧⲉⲛ-	"<span class=""word S A B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A B F"">― ϩⲛ-</span>, <span class=""spelling S A B F"">― ϧⲉⲛ-</span></span>"	-		by <i>agent</i>	by <i>agent</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	― ϩⲛ-, ― ϧⲉⲛ-			― ϩⲛ-, ― ϧⲉⲛ-		― ϩⲛ-, ― ϧⲉⲛ-	― ϩⲛ-, ― ϧⲉⲛ-				1
6510	222	4827	(S,A,B,F) ^^^ ebol Hn-	0	be pure from	be pure from		400a	6	2010-07-22	2010-07-22	vagrant	vagrant	https://pishoyg.github.io/crum/6510.html	(S, A, B, F) <i><b>c</b></i> ⲉⲃⲟⲗ ϩⲛ-	"<span class=""word S A B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A B F""><i><b>c</b></i> ⲉⲃⲟⲗ ϩⲛ-</span> <span class=""nag-hammadi""></span></span>"	ⲉⲃⲟⲗ ϩⲛ-	"<span class=""word S A B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A B F"">ⲉⲃⲟⲗ ϩⲛ-</span> (c)</span>"	-		be pure from	be pure from	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	ⲉⲃⲟⲗ ϩⲛ- (c)			ⲉⲃⲟⲗ ϩⲛ- (c)		ⲉⲃⲟⲗ ϩⲛ- (c)	ⲉⲃⲟⲗ ϩⲛ- (c)				1
6511	222	4827	(S,A,B,F) ^^^ Hrai Hn-,^^^ eKrai Ken-	0				400a	7	2010-07-22	2010-07-22	vagrant	vagrant	https://pishoyg.github.io/crum/6511.html	(S, A, B, F) <i><b>c</b></i> ϩⲣⲁⲓ ϩⲛ-, <i><b>c</b></i> ⲉϧⲣⲁⲓ ϧⲉⲛ-	"<span class=""word S A B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A B F""><i><b>c</b></i> ϩⲣⲁⲓ ϩⲛ-</span>, <span class=""spelling S A B F""><i><b>c</b></i> ⲉϧⲣⲁⲓ ϧⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	ϩⲣⲁⲓ ϩⲛ-, ⲉϧⲣⲁⲓ ϧⲉⲛ-	"<span class=""word S A B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A B F"">ϩⲣⲁⲓ ϩⲛ-</span>, <span class=""spelling S A B F"">ⲉϧⲣⲁⲓ ϧⲉⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	ϩⲣⲁⲓ ϩⲛ-, ⲉϧⲣⲁⲓ ϧⲉⲛ- (c)			ϩⲣⲁⲓ ϩⲛ-, ⲉϧⲣⲁⲓ ϧⲉⲛ- (c)		ϩⲣⲁⲓ ϩⲛ-, ⲉϧⲣⲁⲓ ϧⲉⲛ- (c)	ϩⲣⲁⲓ ϩⲛ-, ⲉϧⲣⲁⲓ ϧⲉⲛ- (c)				1
4832	222	0		99	With following adverb:	With following adverb:		400a	8	2010-04-11	1900-01-01	vagrant		https://pishoyg.github.io/crum/4832.html					HEADER		With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a											0
6512	222	4832	(S) ^^^ ebol	0	(emphatic of [t.])	(emphatic of [t.])		400a	9	2010-07-22	1900-01-01	vagrant		https://pishoyg.github.io/crum/6512.html	(S) <i><b>c</b></i> ⲉⲃⲟⲗ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S""><i><b>c</b></i> ⲉⲃⲟⲗ</span> <span class=""nag-hammadi""></span></span>"	ⲉⲃⲟⲗ	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">ⲉⲃⲟⲗ</span> (c)</span>"	-		<i>emphatic of ⲧ.</i>	<i>emphatic of ⲧ.</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	ⲉⲃⲟⲗ (c)										1
2189	222	0	(S,A,sA,B,F) ^^	1	purity, purification /$gk: [[kaqarioths]]$/	purity, purification /$gk: [[kaqarioths]]$/	kaqarioths	400a	10	2010-02-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/2189.html	(S, A, sA, B, F) ―	"<span class=""word S A sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A sA B F"">―</span> <span class=""nag-hammadi""></span></span>"	―	"<span class=""word S A sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect A"">A</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S A sA B F"">―</span> (ⲡ)</span>"	noun male	καθαριοτησ	purity, purification [καθαριοτησ]	purity, purification	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	― (ⲡ)			― (ⲡ)	― (ⲡ)	― (ⲡ)	― (ⲡ)				0
2190	222	0	(B) att.	0	impure /$gk: [[anosios]]$/	impure /$gk: [[anosios]]$/	anosios	400a	11	2010-02-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/2190.html	(B) ⲁⲧⲧ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲁⲧⲧ.</span> <span class=""nag-hammadi""></span></span>"	ⲁⲧⲧ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲁⲧⲧ.</span></span>"	-	ανοσιοσ	impure [ανοσιοσ]	impure	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a						ⲁⲧⲧ.					0
